difficulty,seed,strategy,mean_combined_risk,peak_combined_risk,mean_resistance,peak_resistance,mean_push_force,peak_push_force,minimum_velocity,mean_velocity,mean_buckling_risk,peak_buckling_risk,mean_kickback,peak_kickback
severe,21000,Fixed Flexible,0.666379829209376,0.9974365526602922,0.846011841852946,2.0275509349285055,0.20887840010783898,0.3425709311258225,1.026337639252685,1.7733975760951415,0.6608322455687937,0.9044566980664867,0.5657192572954378,0.9974365526602922
severe,21000,Balanced V2,0.6075482415219317,1.0,0.8812168241752804,2.219658356956658,0.21286188505446468,0.3643081107323217,0.9650991300235062,1.7681479754376348,0.5921653988884933,0.913797973766039,0.5765701351350396,1.0
severe,21000,Rate-Limited AI,0.5807959136288232,0.8994239333170895,0.7925588040170165,1.7468898018862764,0.20283012632598413,0.31081379549257004,1.1312028160496357,1.8157547208871756,0.5801866303570176,0.8904381475857502,0.5456532890821749,0.8994239333170895
severe,21001,Fixed Flexible,0.5998068963384948,1.0,0.7855653203579053,2.4196207430366803,0.1641898264475973,0.31444771575382846,0.9159301748551086,1.8672431429734297,0.5930359935866213,0.8766197307052825,0.48934932242976986,1.0
severe,21001,Balanced V2,0.542338152619743,1.0,0.8302825037358451,2.67410963721316,0.16830174915036217,0.33784898082729087,0.8524878499498154,1.8607394021937702,0.5241813845085281,0.8883726208991124,0.5014655837924764,1.0
severe,21001,Rate-Limited AI,0.5045460433991572,0.9170431428922285,0.7567057006955826,2.04538740177196,0.1615360697411495,0.28003547294613185,1.0284845282033115,1.8910789796985892,0.5028495155979061,0.8583882343770527,0.4796124877120978,0.9170431428922285
severe,21002,Fixed Flexible,0.5536183893522728,1.0,0.7872648358134348,3.455248407107969,0.17135660915715548,0.42715340485473074,0.9332376842532408,2.4816177943328843,0.5486476564327536,1.0,0.4551155886408866,1.0
severe,21002,Balanced V2,0.5050673290239134,1.0,0.8386616942024888,4.050400134648773,0.17628435752348554,0.4842144401987176,0.8232626317462138,2.460304213062894,0.49396368671961566,1.0,0.4671174103876253,1.0
severe,21002,Rate-Limited AI,0.4787358121396178,1.0,0.7499601032789726,2.869096679567165,0.16777996380246146,0.37095525756824443,1.074619233005962,2.5173828479684977,0.47456061920603837,0.9755778272029709,0.44534490766149193,1.0
severe,21003,Fixed Flexible,0.56723762354287,1.0,0.8054017808411195,2.4273825758585295,0.1772806313246835,0.3365503198719241,1.222206577549421,2.4612344630536347,0.558516159582385,0.8792906842936579,0.4730213911021016,1.0
severe,21003,Balanced V2,0.5140607869183761,1.0,0.8485849181876546,2.7412979969137075,0.1815209804439846,0.3673751061426502,1.1196567425124009,2.4527967610046177,0.4901895073374088,0.8981135098870319,0.48463696297794867,1.0
severe,21003,Rate-Limited AI,0.4773231370365883,0.9252188718935854,0.7666759848726192,2.058934070592315,0.1734779688754152,0.3003706814571447,1.369421318446868,2.5025686524897366,0.4698917014077017,0.8556698765787586,0.4590617150726535,0.9252188718935854
severe,21004,Fixed Flexible,0.6886841518315429,0.9773938840441593,0.9352039452801466,1.9479458395934697,0.2243816006075919,0.34180625127690006,1.1078129000623682,1.7648744546081871,0.6822489526985729,0.8963080396137428,0.6025315044878032,0.9773938840441593
severe,21004,Balanced V2,0.6509784218436241,1.0,0.9941489441287414,2.0764993603244233,0.231216111885702,0.35671168014175125,1.0615222196706233,1.7408588801068359,0.6210879971715879,0.9014823793011556,0.6232236096155078,1.0
severe,21004,Rate-Limited AI,0.6181448078980067,0.8884512681340824,0.8770884150762018,1.6975887981315614,0.21764326394848993,0.3127780375717693,1.2106264794874653,1.8087525608582717,0.6167376695228878,0.8861075664738726,0.58063445618268,0.8884512681340824
severe,21005,Fixed Flexible,0.6611967667459159,0.7903566778300457,0.828553886325804,1.4384894256703353,0.20340373888977964,0.2712514354286646,1.2435646027600813,1.6858082107480794,0.6611967667459159,0.7903566778300457,0.5608389021216336,0.7856814423913564
severe,21005,Balanced V2,0.6069770314388145,0.8595830282340772,0.8693370700283231,1.6480396126999868,0.2079403577507034,0.2945612716033746,1.1451562580200538,1.6652460987782194,0.593388526691177,0.7781135947890939,0.575309916415589,0.8595830282340772
severe,21005,Rate-Limited AI,0.6025731360945998,0.8006872643826707,0.8102831802472932,1.326884357906909,0.20137135146258014,0.25883676817062606,1.3032100730163172,1.7049261237766133,0.6018765994529864,0.8006872643826707,0.5537368090906781,0.7458698239643573
severe,21006,Fixed Flexible,0.5329320185561168,1.0,0.7049473876549162,2.801958452389941,0.16677294198407555,0.3718964004387382,1.138590913028232,2.6354684529110415,0.5292604330157179,0.9337351623616807,0.4285431098075032,1.0
severe,21006,Balanced V2,0.4578276357241346,1.0,0.7369752056000428,3.30054172041399,0.1699058089937643,0.4206663501946513,1.0065883851454296,2.6330188333468625,0.44280818074050204,0.9665619832259769,0.43495986157213,1.0
severe,21006,Rate-Limited AI,0.43587827705608495,1.0,0.7023152960157323,2.3672026552743284,0.16651547851662968,0.3293698662743433,1.2855998847652932,2.648849618912868,0.422746296367297,0.9016698317821612,0.42916338303573554,1.0
severe,21007,Fixed Flexible,0.6082034654888533,1.0,0.9503255407096618,3.153854247904632,0.20531282301474799,0.43728060994308743,1.046626268989615,2.449587002907764,0.5966315577598503,1.0,0.5230827158941939,1.0
severe,21007,Balanced V2,0.5619188714721151,1.0,1.0216493665806043,3.585516757248616,0.2128211572554241,0.4827221767652064,0.9481009891717589,2.431796360348378,0.5321425055938495,1.0,0.5367762569880612,1.0
severe,21007,Rate-Limited AI,0.5217644309132755,1.0,0.8690809271875102,2.6441092366918504,0.19676011701321264,0.3836192159423202,1.193030365181317,2.523330268468139,0.5126179241933214,0.9821021309697283,0.5030244456703264,1.0
severe,21008,Fixed Flexible,0.550138590071483,0.9689657821742598,0.7570558612697386,2.1107726455751004,0.18733940831615695,0.3316743193395035,1.4824297053981979,2.7720166761170915,0.5447344185946305,0.8500198265636624,0.459019611219762,0.9689657821742598
severe,21008,Balanced V2,0.5133757323380629,1.0,0.7849359979970398,2.2724649421064838,0.19031202201239522,0.34891414638722174,1.4091829425595765,2.763183986079015,0.5030957639012797,0.860665354375666,0.46821061835539696,1.0
severe,21008,Rate-Limited AI,0.4712271482750818,0.8580420435599838,0.7124138490777736,1.7941380525123338,0.18257962330622463,0.29791435835912833,1.650420161736197,2.829718100156068,0.4686516639779769,0.8278073803269205,0.44125454007048903,0.8580420435599838
severe,21009,Fixed Flexible,0.6142109921008506,1.0,0.8983584172859805,2.3887074505656787,0.18090787353625587,0.3229336743452019,1.0361446230992963,1.9466419070483163,0.6083793311816135,0.8774155779390809,0.5264714525473156,1.0
severe,21009,Balanced V2,0.5800319187642095,1.0,0.9608103487064912,2.7779460460410994,0.18685935562132447,0.36002694712472744,0.9293915162815841,1.9177435367207913,0.5575307480320301,0.892464171824998,0.54486590293634,1.0
severe,21009,Rate-Limited AI,0.543099615209277,0.9180709574788717,0.8765544514853209,2.0307565667399725,0.17883002087590633,0.28882202681137553,1.1585196391859867,1.9601933585830449,0.5367981089585253,0.8587255673197268,0.5193249719330326,0.9180709574788717
